nomes,nomeJogador,idade,numero,nacionalidade
Estoril Praia,Alejandro Marqués,22 anos,9,Espanha
Estoril Praia,João Carlos,27 anos,50,Brasil
Estoril Praia,Erison Danilo,23 anos,79,Brasil
Estoril Praia,Gilson Benchimol,20 anos,90,Cabo Verde
Estoril Praia,Rodrigo Martins,24 anos,7,Portugal
Estoril Praia,Dele Yusuf,21 anos,11,Nigéria
Estoril Praia,Tiago Araújo,21 anos,78,Portugal
Estoril Praia,Arthur Gomes,24 anos,11,Brasil
Estoril Praia,Elias Achouri,23 anos,17,Tunísia
Casa Pia AC,João Bravim,24 anos,1,Brasil
Casa Pia AC,Ricardo Batista,36 anos,33,Portugal
Casa Pia AC,Lucas Paes,24 anos,68,Brasil
Casa Pia AC,Duplexe Tchamba,24 anos,12,Camarões
Casa Pia AC,Eduardo Fereira,22 anos,2,Venezuela
Casa Pia AC,Rogério Fernandes,20 anos,21,Portugal
Casa Pia AC,João Nunes,27 anos,3,Portugal
Casa Pia AC,Léo Bolgado,24 anos,4,Brasil
Casa Pia AC,Vasco Fernandes,36 anos,13,Portugal
Casa Pia AC,Fernando Varela,35 anos,15,Cabo Verde
Casa Pia AC,Nermin Zolotic,29 anos,19,Bósnia e Herzegovina
Casa Pia AC,Isaac Monteiro,18 anos,44,Portugal
Casa Pia AC,Leonardo Lelo,22 anos,5,Portugal
Casa Pia AC,Derick Poloni,29 anos,6,Brasil
Casa Pia AC,Lucas Soares,24 anos,42,Brasil
Casa Pia AC,Vitó,25 anos,18,Portugal
Casa Pia AC,Afonso Taira,30 anos,27,Portugal
Casa Pia AC,Ângelo Neto,31 anos,8,Brasil
Casa Pia AC,Cuca,31 anos,16,Cabo Verde
Casa Pia AC,Romário Baró,22 anos,17,Portugal
Casa Pia AC,Nuno Borges,34 anos,55,Cabo Verde
Casa Pia AC,Yan Eteki,25 anos,88,Camarões
Casa Pia AC,Diogo Pinto,23 anos,10,Portugal
Casa Pia AC,Takahiro Kunimoto,25 anos,14,Japão
Casa Pia AC,Anderson Cordeiro,24 anos,70,Brasil
Casa Pia AC,Carnejy Antoine,31 anos,9,Haiti
Casa Pia AC,Rafael Martins,33 anos,11,Brasil
Casa Pia AC,Clayton Silva,23 anos,99,Brasil
Casa Pia AC,Saviour Godwin,26 anos,7,Nigéria
Casa Pia AC,Léo Natel,25 anos,23,Brasil
Boavista,Rafael Bracali,41 anos,1,Brasil
Boavista,César,30 anos,12,Brasil
Boavista,João Gonçalves,22 anos,99,Portugal
Boavista,Tomé Sousa,15 anos,78,Portugal
Boavista,Reggie Cannon,24 anos,2,Estados Unidos
Boavista,Robson Reis,22 anos,4,Brasil
Boavista,Vincent Sasso,31 anos,23,França
Boavista,Rodrigo Abascal,28 anos,26,Uruguai
Boavista,Pedro Gomes,19 anos,62,Portugal
Boavista,Bruno Onyemaechi,23 anos,70,Nigéria
Boavista,Filipe Ferreira,32 anos,20,Portugal
Boavista,Júlio Dabó,18 anos,55,Portugal
Boavista,Pedro Malheiro,21 anos,79,Portugal
Boavista,Ricardo Mangas,24 anos,19,Portugal
Boavista,Yanis Hamache,23 anos,25,Argélia
Boavista,Miguel Reisinho,23 anos,10,Portugal
Boavista,Sebastián Pérez,29 anos,24,Colômbia
Boavista,Ibrahima Camará,23 anos,6,Guiné (Conacri)
Boavista,Ilija Vukotic,23 anos,18,Montenegro
Boavista,Masaki Watai,23 anos,13,Japão
Boavista,Joel Silva,19 anos,16,Portugal
Boavista,Gaius Makouta,25 anos,42,Congo
Boavista,Berna Conceição,19 anos,80,Portugal
Boavista,Bruno Lourenço,24 anos,8,Portugal
Boavista,Diego Llorente,21 anos,71,Espanha
Boavista,Luís Santos,22 anos,77,Portugal
Boavista,Adalberto Peñaranda,25 anos,97,Venezuela
Boavista,Róbert Bozeník,23 anos,9,Eslováquia
Boavista,Yusupha Njie,28 anos,11,Gâmbia
Boavista,Martim Tavares,19 anos,59,Portugal
Boavista,Tiago Machado,18 anos,90,Portugal
Boavista,Kenji Gorré,28 anos,7,Curaçau
Boavista,Salvador Agra,31 anos,21,Portugal
Boavista,Cristiano Fitzgerald,19 anos,30,República da Irlanda
Boavista,Jeriel De Santis,20 anos,27,Venezuela
Boavista,Tiago Morais,19 anos,73,Portugal
Benfica,Samuel Soares,20 anos,24,Portugal
Benfica,Helton Leite,32 anos,77,Brasil
Benfica,Odysseas Vlachodimos,28 anos,99,Grécia
Benfica,Léo Kokubo,21 anos,45,Japão
Benfica,André Gomes,18 anos,75,Portugal
Benfica,Gilberto,29 anos,2,Brasil
Benfica,Alexander Bah,24 anos,6,Dinamarca
Benfica,André Almeida,32 anos,34,Portugal
Benfica,Lucas Veríssimo,27 anos,4,Brasil
Benfica,John Brooks,29 anos,25,Estados Unidos
Benfica,Nicolás Otamendi,34 anos,30,Argentina
Benfica,João Victor,24 anos,38,Brasil
Benfica,António Silva,19 anos,66,Portugal
Benfica,Morato,21 anos,91,Brasil
Benfica,Álex Grimaldo,27 anos,3,Espanha
Benfica,Mihailo Ristic,27 anos,23,Sérvia
Benfica,Gil Dias,26 anos,31,Portugal
Benfica,Jan Vertonghen,35 anos,5,Bélgica
Benfica,Fredrik Aursnes,26 anos,8,Noruega
Benfica,Florentino Luís,23 anos,61,Portugal
Benfica,João Mário,29 anos,20,Portugal
Benfica,Chiquinho,27 anos,22,Portugal
Benfica,Enzo Fernández,21 anos,13,Argentina
Benfica,Paulo Bernardo,20 anos,55,Portugal
Benfica,Martim Neto,19 anos,76,Portugal
Benfica,João Neves,18 anos,87,Portugal
Benfica,Hugo Félix,18 anos,94,Portugal
Benfica,Julian Weigl,27 anos,28,Alemanha
Benfica,Julian Draxler,29 anos,93,Alemanha
Benfica,David Neres,25 anos,7,Brasil
Benfica,Diogo Gonçalves,25 anos,17,Portugal
Benfica,Rodrigo Pinho,31 anos,18,Brasil
Benfica,Petar Musa,24 anos,33,Croácia
Benfica,Henrique Araújo,20 anos,39,Portugal
Benfica,Gonçalo Ramos,21 anos,88,Portugal
Benfica,Diego Moreira,18 anos,96,Portugal
Benfica,Rafa Silva,29 anos,27,Portugal
Benfica,Roman Yaremchuk,27 anos,9,Ucrânia
